latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
7.96814,80.59685,347.3,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,298.24,6.47,D
7.98507,80.62343,330.99,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,299.01,3.46,D
8.00779,81.43661,330.8,0.53,0.42,2026-09-01,750,N,VIIRS,l,2.0NRT,304.26,6.68,D
8.03059,80.59743,339.51,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,300.21,3.18,D
8.03119,81.28948,349.71,0.54,0.42,2026-09-01,750,N,VIIRS,n,2.0NRT,307.0,20.57,D
8.13979,81.4119,332.42,0.53,0.42,2026-09-01,750,N,VIIRS,l,2.0NRT,300.93,4.71,D
8.18792,80.69052,340.57,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.84,6.26,D
8.24386,80.60502,340.11,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,301.48,4.93,D
8.26053,80.58041,342.01,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,300.71,7.81,D
8.26432,80.55347,334.0,0.39,0.44,2026-09-01,750,N,VIIRS,n,2.0NRT,298.06,4.08,D
8.29291,77.57172,340.35,0.61,0.54,2026-09-01,750,N,VIIRS,n,2.0NRT,300.05,3.49,D
8.29877,80.15601,343.71,0.42,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,301.32,18.87,D
8.30062,80.15585,344.61,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,303.18,19.56,D
8.30368,81.01878,337.15,0.55,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,299.13,6.15,D
8.3076,81.01814,336.04,0.55,0.43,2026-09-01,750,N,VIIRS,n,2.0NRT,298.71,6.15,D
8.3114,80.28439,343.65,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,300.84,2.5,D
8.31414,80.28391,339.16,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,301.37,3.4,D
8.32899,80.29664,333.49,0.41,0.45,2026-09-01,750,N,VIIRS,n,2.0NRT,300.35,3.46,D
