event_id,brightness,frp,confidence,day_night,distance_to_industrial,distance_to_refinery,distance_to_powerplant,distance_to_mine,distance_to_gas_facility,distance_to_road,near_industrial_facility,near_refinery,near_powerplant,near_mine,near_gas_facility,forest_pct,cropland_pct,grassland_pct,builtup_pct,water_pct,detections_7d,detections_30d,detections_90d,mean_frp_30d,max_frp_30d,mean_brightness_30d,days_active_30d,persistence_score,frp_deviation,frp_ratio,brightness_deviation,brightness_ratio,osm_query_status,data_quality_flags,candidate_label,verified_label,verification_status
FIRMS_E79880EA18,330.74,1.94,,day,,,,,,0.2789,0.0,0.0,,0.0,0.0,10.0,87.32,1.97,0.72,0.0,0,2,2,11.835,12.45,345.345,1,0.0333,-9.895,0.1639,-14.605,0.9577,industrial:not_found; refinery:not_found; powerplant:query_failed; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_5553C5B0B0,342.87,3.96,,day,,,,,,,,0.0,0.0,,0.0,7.41,89.53,2.04,1.01,0.0,1,3,3,9.8,12.45,348.0767,2,0.0667,-5.84,0.4041,-5.2067,0.985,industrial:query_failed; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_2ED1387DB2,342.6,3.96,,day,,,,,,0.3927,,0.0,0.0,0.0,0.0,9.85,81.31,3.99,4.82,0.0,2,4,4,8.7825,12.45,344.16,2,0.0667,-4.8225,0.4509,-1.56,0.9955,industrial:query_failed; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_9BB128FE05,338.11,4.57,,day,,,,,,0.179,0.0,,0.0,0.0,0.0,7.81,83.79,3.6,4.76,0.0,2,4,4,8.7825,12.45,344.16,2,0.0667,-4.2125,0.5204,-6.05,0.9824,industrial:not_found; refinery:query_failed; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,osm_partial_failure,,,data_invalid
FIRMS_395D596FD6,330.1,4.54,,day,,,,,,,0.0,0.0,0.0,0.0,0.0,6.07,91.63,1.34,0.96,0.0,1,2,2,9.09,12.45,347.525,2,0.0667,-4.55,0.4994,-17.425,0.9499,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_DEFF647294,337.98,2.16,,day,,,,,,,0.0,,,,0.0,6.31,88.31,2.24,3.11,0.0,2,2,2,3.96,5.73,331.69,2,0.0667,-1.8,0.5455,6.29,1.019,industrial:not_found; refinery:query_failed; powerplant:query_failed; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_D1BADB3E3A,333.99,2.16,,day,,,,,,0.0272,0.0,0.0,0.0,0.0,0.0,7.4,87.58,2.15,2.84,0.0,1,1,1,2.19,2.19,330.97,1,0.0333,-0.03,0.9863,3.02,1.0091,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,ok,,,data_invalid
FIRMS_D1207D1FA7,343.88,4.15,,day,,,,,,,0.0,0.0,,,0.0,6.38,88.3,2.12,3.17,0.0,1,1,1,5.73,5.73,332.41,1,0.0333,-1.58,0.7243,11.47,1.0345,industrial:not_found; refinery:not_found; powerplant:query_failed; mine:query_failed; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_CFD94FC7B0,349.88,4.15,,day,,,,,,,,0.0,0.0,0.0,0.0,7.12,87.73,2.05,3.08,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_D45034B46D,367.0,10.51,,day,,,,,,0.3498,0.0,0.0,0.0,0.0,0.0,7.57,85.85,2.57,4.01,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,ok,,,data_invalid
FIRMS_300CBF77F2,333.51,2.36,,day,,,,,,,,,0.0,,,7.09,89.55,1.93,1.39,0.0,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:query_failed; powerplant:not_found; mine:query_failed; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_4AD73B9B4D,340.36,3.35,,day,,,,,,0.3658,0.0,0.0,0.0,0.0,0.0,11.18,85.85,2.69,0.25,0.0,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:not_found; road:ok,ok,,,data_invalid
FIRMS_346E465717,342.55,25.84,,day,,,3.4065,,,0.101,0.0,0.0,1.0,0.0,0.0,11.82,11.31,45.44,0.14,10.3,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:ok; mine:not_found; gas_facility:not_found; road:ok,ok,,,data_invalid
FIRMS_7A55DFA722,342.46,8.92,,day,,,,,,,0.0,0.0,0.0,0.0,,27.84,37.41,33.59,0.26,0.11,0,0,0,,,,0,0.0,,,,,industrial:not_found; refinery:not_found; powerplant:not_found; mine:not_found; gas_facility:query_failed; road:query_failed,osm_partial_failure,,,data_invalid
FIRMS_2794E18D8D,345.28,4.83,,day,,,,,,0.1861,,0.0,0.0,,,26.77,29.16,21.27,3.08,16.58,0,0,0,,,,0,0.0,,,,,industrial:query_failed; refinery:not_found; powerplant:not_found; mine:query_failed; gas_facility:query_failed; road:ok,osm_partial_failure,,,data_invalid
